decomposition,scenario,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
baseline,flat,0.718875,0.6840780531847805,0.7175,0.14975,0
baseline,swedish_baseline_progressivity,0.717625,0.693093188502932,0.7445,0.14275,0
baseline,swedish_high_progressivity,0.7125,0.700056895888569,0.7535,0.139,0
no_transfers,flat,0.68075,0.7368253384442534,0.745,0.13175,0
no_transfers,swedish_baseline_progressivity,0.6656249999999999,0.7568312499443126,0.772,0.11625,0
no_transfers,swedish_high_progressivity,0.6501250000000001,0.7733990598899905,0.7905,0.103,0
homogeneous_returns,flat,0.693125,0.7315514164395142,0.7645,0.13175,0
homogeneous_returns,swedish_baseline_progressivity,0.6816249999999999,0.7440450716524506,0.796,0.1235,0
homogeneous_returns,swedish_high_progressivity,0.673,0.7539851124638511,0.8105,0.1155,0
homogeneous_saving_rates,flat,0.697,0.7228759321487592,0.7555,0.1225,0
homogeneous_saving_rates,swedish_baseline_progressivity,0.6877500000000001,0.7443068755830687,0.7815,0.10875,0
homogeneous_saving_rates,swedish_high_progressivity,0.6741250000000001,0.7615888001478881,0.796,0.096,0
no_capital_tax,flat,0.739125,0.6727318676833187,0.69,0.1485,0
no_capital_tax,swedish_baseline_progressivity,0.73875,0.6787937698279377,0.7035,0.14275,0
no_capital_tax,swedish_high_progressivity,0.7355,0.68323299470833,0.716,0.1405,0
baseline,flat,0.727875,0.6657266887052669,0.7295,0.16075,1
baseline,swedish_baseline_progressivity,0.725625,0.6769369205653691,0.743,0.1515,1
baseline,swedish_high_progressivity,0.7255,0.685365195469652,0.7545,0.145,1
no_transfers,flat,0.69025,0.7184079834920798,0.7565,0.144,1
no_transfers,swedish_baseline_progressivity,0.67875,0.7410329391903294,0.782,0.127,1
no_transfers,swedish_high_progressivity,0.669,0.7599056620470566,0.796,0.1095,1
homogeneous_returns,flat,0.696875,0.7105828303338282,0.7645,0.151,1
homogeneous_returns,swedish_baseline_progressivity,0.68775,0.7249155300131555,0.7875,0.14,1
homogeneous_returns,swedish_high_progressivity,0.683125,0.7361966965259669,0.8115,0.128,1
homogeneous_saving_rates,flat,0.705,0.7088104395801044,0.765,0.13725,1
homogeneous_saving_rates,swedish_baseline_progressivity,0.6953750000000001,0.7331715564717155,0.784,0.11725,1
homogeneous_saving_rates,swedish_high_progressivity,0.678375,0.7525738601417385,0.799,0.106,1
no_capital_tax,flat,0.744125,0.65761799688018,0.703,0.1555,1
no_capital_tax,swedish_baseline_progressivity,0.7384999999999999,0.6657961414779614,0.718,0.15025,1
no_capital_tax,swedish_high_progressivity,0.74025,0.6716247907522479,0.7245,0.14475,1
baseline,flat,0.739625,0.6629383233653833,0.7165,0.165,2
baseline,swedish_baseline_progressivity,0.7286250000000001,0.6730157278901573,0.7375,0.1565,2
baseline,swedish_high_progressivity,0.724625,0.6808558928085588,0.7495,0.14925,2
no_transfers,flat,0.69475,0.7183600388356004,0.749,0.14425,2
no_transfers,swedish_baseline_progressivity,0.6808749999999999,0.7394419898424199,0.7765,0.1265,2
no_transfers,swedish_high_progressivity,0.6693749999999999,0.7570430030144301,0.797,0.11125,2
homogeneous_returns,flat,0.70775,0.7148260806442607,0.7585,0.1505,2
homogeneous_returns,swedish_baseline_progressivity,0.7003750000000001,0.7283940066119401,0.7855,0.141,2
homogeneous_returns,swedish_high_progressivity,0.688,0.7393006172770061,0.808,0.1295,2
homogeneous_saving_rates,flat,0.698,0.7067435867874359,0.753,0.13575,2
homogeneous_saving_rates,swedish_baseline_progressivity,0.6841250000000001,0.7295254548112545,0.7825,0.11675,2
homogeneous_saving_rates,swedish_high_progressivity,0.6725,0.7477432276094323,0.798,0.10025,2
no_capital_tax,flat,0.7545,0.6512937750209377,0.6915,0.16325,2
no_capital_tax,swedish_baseline_progressivity,0.753625,0.6584110301121102,0.703,0.15575,2
no_capital_tax,swedish_high_progressivity,0.751375,0.6637331225653312,0.7115,0.1515,2
