transfer_policy,return_preset,tax_scenario,wealth_gini_difference_relative_to_flat,disposable_income_gini_difference_relative_to_flat,top_10_difference_relative_to_flat,top_1_difference_relative_to_flat,shorrocks_difference_relative_to_flat,top_20_persistence_difference_relative_to_flat,seed
lump_sum_only,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
lump_sum_only,baseline_return_heterogeneity,swedish_low_progressivity,-0.004420320617982032,-0.014140739942365865,-0.001728421752130338,-9.64174195394879e-05,-0.0016249999999999876,0.007500000000000062,0
lump_sum_only,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.011570383425760333,-0.03961742762473963,-0.0035389564858798184,-0.00021827577807570497,-0.004750000000000032,0.029000000000000026,0
lump_sum_only,baseline_return_heterogeneity,swedish_high_progressivity,-0.01822241910309219,-0.06677370725612453,-0.0048621480507731185,-0.0002927657982140369,-0.010750000000000037,0.03650000000000009,0
no_transfers,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
no_transfers,baseline_return_heterogeneity,swedish_low_progressivity,-0.002716600939504321,-0.015377625591232569,9.326409962656657e-05,0.0005903410547636323,-0.0029999999999998916,0.009000000000000008,0
no_transfers,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.007345239000191794,-0.046423843800672326,0.001434058051752396,0.0015675391527233407,-0.015125000000000055,0.027000000000000024,0
no_transfers,baseline_return_heterogeneity,swedish_high_progressivity,-0.011932989306226327,-0.08236111979569749,0.003093883984662482,0.002514860291737364,-0.030624999999999902,0.045499999999999985,0
universal_plus_safety_floor,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_low_progressivity,-0.004292308316123039,-0.013714105905046736,-0.0016945295030711405,-0.00010810727265299358,0.001000000000000112,0.007000000000000006,0
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_baseline_progressivity,-0.010910737772547918,-0.037624192727147454,-0.003416386217606815,-0.00024317508838689328,0.0002500000000000835,0.02749999999999997,0
universal_plus_safety_floor,baseline_return_heterogeneity,swedish_high_progressivity,-0.016806963649312223,-0.06248847400295432,-0.0046504325756209774,-0.00032297383303395155,-0.005249999999999866,0.03649999999999998,0
lump_sum_only,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
lump_sum_only,high_return_heterogeneity,swedish_low_progressivity,-0.0036015895029750666,-0.014140739942365865,-0.0015861820677954275,-0.00014594013368761372,0.001375000000000015,0.0,0
lump_sum_only,high_return_heterogeneity,swedish_baseline_progressivity,-0.009356493822447076,-0.03961742762473963,-0.0036894955266179585,-0.00033368361776241195,0.00024999999999997247,0.0030000000000000027,0
lump_sum_only,high_return_heterogeneity,swedish_high_progressivity,-0.014656555223393708,-0.06677370725612453,-0.005415874693554479,-0.0004986058828137935,-0.001375000000000015,0.008500000000000063,0
no_transfers,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
no_transfers,high_return_heterogeneity,swedish_low_progressivity,-0.0019332714861783895,-0.015377625591232569,0.000174025146510437,0.0006148127882654314,-0.004125000000000156,0.0045000000000000595,0
no_transfers,high_return_heterogeneity,swedish_baseline_progressivity,-0.005209185097878377,-0.046423843800672326,0.0012430018691462208,0.0016432493653700808,-0.010000000000000009,0.01200000000000001,0
no_transfers,high_return_heterogeneity,swedish_high_progressivity,-0.00843569042997272,-0.08236111979569749,0.002561702524408127,0.0026035460697307194,-0.01837500000000003,0.024500000000000077,0
universal_plus_safety_floor,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
universal_plus_safety_floor,high_return_heterogeneity,swedish_low_progressivity,-0.0034864865288199987,-0.013714105905046736,-0.0015624705648464854,-0.00015941498045120295,0.0017500000000000293,0.0010000000000000009,0
