return_preset,transfer_policy,tax_scenario,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
low_return_heterogeneity,no_transfers,flat,0.667875,0.7714995109909951,0.7825,0.122,0
low_return_heterogeneity,no_transfers,swedish_low_progressivity,0.658625,0.7785557523815576,0.7935,0.11675,0
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.640625,0.7952510258245102,0.817,0.104,0
low_return_heterogeneity,no_transfers,swedish_high_progressivity,0.613375,0.8159070155270701,0.8375,0.0885,0
low_return_heterogeneity,lump_sum_only,flat,0.7066250000000001,0.7123592381835925,0.758,0.14425,0
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.7033750000000001,0.7164449580484497,0.768,0.14075,0
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.694375,0.7261308444853085,0.785,0.13325,0
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.682375,0.7377787846417878,0.806,0.1265,0
low_return_heterogeneity,universal_plus_safety_floor,flat,0.6905000000000001,0.7283869196278692,0.7655,0.137,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.688625,0.7320748213807482,0.774,0.13375,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.68225,0.740562200293622,0.7935,0.128,0
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.671625,0.7502557479865574,0.8115,0.12075,0
baseline_return_heterogeneity,no_transfers,flat,0.68075,0.7368253384442534,0.745,0.13175,0
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,0.6777500000000001,0.7429030720210308,0.754,0.127,0
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.6656249999999999,0.7568312499443126,0.772,0.11625,0
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,0.6501250000000001,0.7733990598899905,0.7905,0.103,0
baseline_return_heterogeneity,lump_sum_only,flat,0.72725,0.6721195223291951,0.711,0.15425,0
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.725625,0.6752689434566894,0.7185,0.1505,0
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.7224999999999999,0.6826011666460116,0.74,0.147,0
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.7164999999999999,0.6910527355065275,0.7475,0.142,0
baseline_return_heterogeneity,universal_plus_safety_floor,flat,0.7181249999999999,0.6844446074924461,0.7175,0.14925,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.719125,0.6872368831403689,0.7245,0.1465,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.718375,0.6934505923905059,0.745,0.14325,0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.712875,0.700378907047789,0.754,0.139,0
high_return_heterogeneity,no_transfers,flat,0.77475,0.6408086226960863,0.6345,0.15775,0
high_return_heterogeneity,no_transfers,swedish_low_progressivity,0.7706249999999999,0.6445865085498651,0.639,0.15575,0
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.76475,0.6525588334415884,0.6465,0.1525,0
high_return_heterogeneity,no_transfers,swedish_high_progressivity,0.756375,0.6615499500154995,0.659,0.14875,0
high_return_heterogeneity,lump_sum_only,flat,0.811875,0.5660444821404449,0.603,0.18925,0
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.81325,0.5669352474773524,0.603,0.18925,0
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.812125,0.5691386131593862,0.606,0.1895,0
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.8105,0.5717496556014965,0.6115,0.191,0
high_return_heterogeneity,universal_plus_safety_floor,flat,0.807125,0.5715775878757758,0.604,0.1865,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.808875,0.5722138908341389,0.605,0.18725,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.806875,0.573836902382369,0.6075,0.1915,0
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.8085,0.5756287135762871,0.614,0.1885,0
low_return_heterogeneity,no_transfers,flat,0.671375,0.7515877289198772,0.791,0.13525,1
low_return_heterogeneity,no_transfers,swedish_low_progressivity,0.6655,0.7594541167545411,0.8005,0.131,1
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,0.6465000000000001,0.7778010635900107,0.823,0.11825,1
low_return_heterogeneity,no_transfers,swedish_high_progressivity,0.62375,0.8007346935993469,0.8485,0.1,1
low_return_heterogeneity,lump_sum_only,flat,0.7115,0.6906550490225506,0.763,0.16075,1
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,0.711375,0.6954427439104275,0.7695,0.15675,1
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,0.7092499999999999,0.7064913282569133,0.7825,0.14975,1
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,0.698375,0.7195102851431028,0.8025,0.1355,1
low_return_heterogeneity,universal_plus_safety_floor,flat,0.69825,0.7076327064683271,0.7695,0.15325,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,0.6965,0.7120087322560873,0.7765,0.14975,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,0.691125,0.7218185879221858,0.7905,0.14025,1
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,0.684625,0.7329545421455455,0.807,0.12875,1
baseline_return_heterogeneity,no_transfers,flat,0.69025,0.7184079834920798,0.7565,0.144,1
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,0.689125,0.7254175100101751,0.7665,0.14,1
